matchId,matchDate,ouid,nickname,seasonId,matchResult,matchEndType,systemPause,foul,injury,redCards,yellowCards,dribble,cornerKick,possession,offsideCount,averageRating,controller,shootTotal,effectiveShootTotal,shootOutScore,goalTotal,goalTotalDisplay,ownGoal,shootHeading,goalHeading,shootFreekick,goalFreekick,shootInPenalty,goalInPenalty,shootOutPenalty,goalOutPenalty,shootPenaltyKick,goalPenaltyKick,passTry,passSuccess,shortPassTry,shortPassSuccess,longPassTry,longPassSuccess,bouncingLobPassTry,bouncingLobPassSuccess,drivenGroundPassTry,drivenGroundPassSuccess,throughPassTry,throughPassSuccess,lobbedThroughPassTry,lobbedThroughPassSuccess,blockTry,blockSuccess,tackleTry,tackleSuccess
66f7ec7bbf5b2024a267fd8e,2024-09-28T11:56:21,eae34ad352194c477d893eeaa1e4d7da,GUl멘,202410,승,0,0.0,0.0,0.0,0.0,0.0,108.0,1.0,61.0,1.0,4.27778,keyboard,7.0,4.0,0.0,2.0,2,0.0,0.0,0.0,1.0,0.0,3.0,2.0,4.0,0.0,0.0,0.0,141.0,134.0,107.0,107.0,9.0,9.0,1.0,0.0,5.0,3.0,16.0,15.0,0.0,0.0,7.0,0.0,5.0,5.0
66f7ec7bbf5b2024a267fd8e,2024-09-28T11:56:21,b22c285a9370f7ca518c75618872a3b9,사막여우네,202410,패,0,0.0,2.0,0.0,0.0,0.0,51.0,0.0,39.0,2.0,3.75,keyboard,5.0,1.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,78.0,72.0,58.0,54.0,1.0,1.0,0.0,0.0,0.0,0.0,19.0,17.0,0.0,0.0,12.0,1.0,18.0,13.0
66f7ea13de695077474871a3,2024-09-28T11:45:41,eae34ad352194c477d893eeaa1e4d7da,GUl멘,202410,승,0,0.0,0.0,2.0,0.0,0.0,97.0,0.0,52.0,0.0,4.65,keyboard,8.0,8.0,0.0,6.0,6,0.0,0.0,0.0,0.0,0.0,6.0,4.0,2.0,2.0,0.0,0.0,116.0,110.0,94.0,92.0,2.0,2.0,1.0,0.0,4.0,3.0,14.0,12.0,1.0,1.0,7.0,0.0,4.0,4.0
66f7ea13de695077474871a3,2024-09-28T11:45:41,f184eda630457c66c4baf15f182fd112,탈모드리치질,202410,패,0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,48.0,0.0,3.59444,keyboard,3.0,2.0,0.0,2.0,2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,129.0,121.0,110.0,108.0,3.0,0.0,0.0,0.0,0.0,0.0,14.0,12.0,1.0,1.0,8.0,1.0,8.0,5.0
66f7e707550fd922117a0e83,2024-09-28T11:33:14,eae34ad352194c477d893eeaa1e4d7da,GUl멘,202410,승,0,0.0,1.0,0.0,0.0,0.0,78.0,0.0,46.0,0.0,4.25,keyboard,3.0,2.0,0.0,2.0,2,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,128.0,117.0,109.0,103.0,1.0,1.0,0.0,0.0,1.0,1.0,16.0,12.0,0.0,0.0,7.0,0.0,9.0,8.0
66f7e707550fd922117a0e83,2024-09-28T11:33:14,36a68647ba523c49aa629129346e416c,Sergej,202410,패,0,0.0,1.0,0.0,0.0,0.0,81.0,1.0,54.0,2.0,4.02222,gamepad,3.0,3.0,0.0,1.0,1,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,126.0,116.0,93.0,87.0,4.0,3.0,0.0,0.0,10.0,10.0,18.0,16.0,0.0,0.0,4.0,0.0,8.0,4.0
66f00c0c8eb33e296f47b633,2024-09-22T12:33:04,eae34ad352194c477d893eeaa1e4d7da,GUl멘,202410,승,0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,53.0,0.0,4.48333,keyboard,4.0,4.0,0.0,3.0,3,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,110.0,105.0,87.0,86.0,2.0,2.0,0.0,0.0,2.0,1.0,19.0,16.0,0.0,0.0,8.0,0.0,6.0,4.0
66f00c0c8eb33e296f47b633,2024-09-22T12:33:04,5273c5cc1cd78f22d1da241831fc2e94,지루형뚝배기,202410,패,0,0.0,2.0,0.0,0.0,1.0,80.0,3.0,47.0,1.0,3.78889,keyboard,7.0,5.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,114.0,101.0,88.0,83.0,5.0,2.0,0.0,0.0,3.0,3.0,18.0,13.0,0.0,0.0,6.0,0.0,10.0,6.0
66f0095d024fa499dc9b9a4c,2024-09-22T12:21:27,b1fd75ddf3fe1d905b3862eb4c178815,Sclacty,202410,무,0,0.0,2.0,0.0,0.0,0.0,75.0,1.0,48.0,0.0,4.14444,keyboard,5.0,4.0,0.0,2.0,2,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,115.0,106.0,80.0,76.0,6.0,4.0,0.0,0.0,13.0,13.0,16.0,13.0,0.0,0.0,4.0,0.0,9.0,5.0
66f0095d024fa499dc9b9a4c,2024-09-22T12:21:27,eae34ad352194c477d893eeaa1e4d7da,GUl멘,202410,무,0,0.0,0.0,0.0,0.0,0.0,88.0,1.0,52.0,0.0,4.0,keyboard,5.0,5.0,0.0,2.0,2,0.0,0.0,0.0,1.0,1.0,2.0,0.0,3.0,2.0,0.0,0.0,129.0,119.0,99.0,94.0,4.0,3.0,0.0,0.0,2.0,1.0,24.0,21.0,0.0,0.0,11.0,2.0,5.0,2.0
